#type,time,ch,ticks,l,fL,v,fV,f,fF,o,scale,en,fEn,vDiff,vCnt,oDiff,envlp,envlpIndex,nE,nF,offset,data,wtblIndex,f1Ctrl,f2Ctrl,vCtrl,enCtrl
vCtrl,3.083514739229059,0,186,,,,,,,,,1,,,,,,,,,31,64,1,160,6,14,31
vCtrl,3.1002040816326875,0,187,,,,,,,,,1,,,,,,,,,31,64,1,160,6,13,31
vCtrl,3.1169160997732774,0,188,,,,,,,,,1,,,,,,,,,31,64,1,160,6,12,31
vCtrl,3.133650793650829,0,189,,,,,,,,,1,,,,,,,,,31,64,1,160,6,11,31
vCtrl,3.150317460317496,0,190,,,,,,,,,1,,,,,,,,,31,64,1,160,6,10,31
f1Ctrl,3.1671655328798547,0,191,,,,,,,,,1,,,,,,,,,31,64,1,80,6,10,31
f2Ctrl,3.167233560090739,0,191,,,,,,,,,1,,,,,,,,,31,64,1,80,3,10,31
vCtrl,3.167573696145161,0,191,,,,,,,,,1,,,,,,,,,31,64,1,80,3,15,31
vCtrl,3.1836507936508305,0,192,,,,,,,,,1,,,,,,,,,31,64,1,80,3,14,31
vCtrl,3.200340136054459,0,193,,,,,,,,,1,,,,,,,,,31,64,1,80,3,13,31
vCtrl,3.217052154195049,0,194,,,,,,,,,1,,,,,,,,,31,64,1,80,3,12,31
vCtrl,3.2336507936508316,0,195,,,,,,,,,1,,,,,,,,,31,64,1,80,3,11,31
vCtrl,3.25034013605446,0,196,,,,,,,,,1,,,,,,,,,31,64,1,80,3,10,31
f1Ctrl,3.2674603174603565,0,197,,,,,,,,,1,,,,,,,,,31,64,1,160,3,10,31
f2Ctrl,3.267528344671241,0,197,,,,,,,,,1,,,,,,,,,31,64,1,160,6,10,31
vCtrl,3.2678458049887014,0,197,,,,,,,,,1,,,,,,,,,31,64,1,160,6,15,31
vCtrl,3.2837188208617176,0,198,,,,,,,,,1,,,,,,,,,31,64,1,160,6,14,31
vCtrl,3.3005215419501535,0,199,,,,,,,,,1,,,,,,,,,31,64,1,160,6,13,31
vCtrl,3.317210884353782,0,200,,,,,,,,,1,,,,,,,,,31,64,1,160,6,12,31
vCtrl,3.3337641723356417,0,201,,,,,,,,,1,,,,,,,,,31,64,1,160,6,11,31
vCtrl,3.3504535147392702,0,202,,,,,,,,,1,,,,,,,,,31,64,1,160,6,10,31
f1Ctrl,3.367392290249475,0,203,,,,,,,,,1,,,,,,,,,31,64,1,80,6,10,31
f2Ctrl,3.3674376417233978,0,203,,,,,,,,,1,,,,,,,,,31,64,1,80,3,10,31
vCtrl,3.3677777777778197,0,203,,,,,,,,,1,,,,,,,,,31,64,1,80,3,15,31
vCtrl,3.383854875283489,0,204,,,,,,,,,1,,,,,,,,,31,64,1,80,3,14,31
